startpoint,endpoint,type
_114294_,_115438_,b
_114294_,_117097_,b
_114294_,_117015_,b
_114294_,_117013_,b
_114294_,_117014_,b
_114294_,_115437_,b
_114294_,_115436_,b
_114294_,_117012_,b
_114294_,_115435_,b
_114294_,_117011_,b
_114294_,_115434_,b
_114294_,_116927_,b
_114294_,_117010_,b
_114294_,_117009_,b
_114294_,_116595_,b
_114294_,_115433_,b
_114294_,_115800_,b
_114294_,_115799_,b
_114294_,_116594_,b
_114294_,_115674_,b
_114294_,_115798_,b
_114294_,_115228_,b
_114294_,_116593_,b
_114294_,_115229_,b
_114294_,_115227_,b
_114294_,_114576_,b
_114294_,_117087_,b
_114294_,_115797_,b
_114294_,_115673_,b
_114294_,_114575_,b
_114294_,_116592_,b
_114294_,_115226_,b
_114294_,_115593_,b
_114294_,_117249_,b
_114294_,_114574_,b
_114294_,_115672_,b
_114294_,_117085_,b
_114294_,_115592_,b
_114294_,_117086_,b
_114294_,_115225_,b
_114294_,_117248_,b
_114294_,_115796_,b
_114294_,_115591_,b
_114294_,_114573_,b
_114294_,_116591_,b
_114294_,_115756_,b
_114294_,_116391_,b
_114294_,_114859_,b
_114294_,_115755_,b
_114294_,_117084_,b
_114294_,_116881_,b
_114294_,_116921_,b
_114294_,_115224_,b
_114294_,_114858_,b
_114294_,_115263_,b
_114294_,_115428_,b
_114294_,_115387_,b
_114294_,_115795_,b
_114294_,_115590_,b
_114294_,_115671_,b
_114294_,_117003_,b
_114294_,_116880_,b
_114294_,_115828_,b
_114294_,_114572_,b
_114294_,_115754_,b
_114294_,_115427_,b
_114294_,_115223_,b
_114294_,_116590_,d
_114294_,_117083_,b
_114294_,_115386_,b
_114294_,_117002_,b
_114294_,_115589_,b
_114294_,_117246_,b
_114294_,_115794_,b
_114294_,_114571_,b
_114294_,_114857_,b
_114294_,_115753_,b
_114294_,_116879_,b
_114294_,_116837_,b
_114294_,_115588_,b
_114294_,_116919_,b
_114294_,_116755_,b
_114294_,_115793_,b
_114294_,_115426_,b
_114294_,_116836_,b
_114294_,_116878_,b
_114294_,_116589_,d
_114294_,_115222_,b
_114294_,_115670_,d
_114294_,_114856_,b
_114294_,_117082_,b
_114294_,_115425_,b
_114294_,_115752_,b
_114294_,_116918_,b
_114294_,_117245_,d
_114294_,_116959_,b
_114294_,_116835_,b
_114294_,_117000_,b
_114294_,_116671_,b
_114294_,_115221_,b
_114294_,_115669_,c
_114294_,_116588_,d
_114294_,_115826_,b
_114294_,_116670_,c
_114294_,_115751_,c
_114294_,_115587_,c
_114294_,_116999_,b
_114294_,_116712_,b
_114294_,_116917_,b
_114294_,_115141_,b
_114294_,_115424_,b
_114294_,_117081_,b
_114294_,_114855_,b
_114294_,_116834_,c
_114294_,_116958_,b
_114294_,_116877_,b
_114294_,_117244_,d
_114294_,_115016_,c
_114294_,_115668_,c
_114294_,_117161_,c
_114294_,_115750_,c
_114294_,_115586_,c
_114294_,_114609_,c
_114294_,_115098_,c
_114294_,_116587_,c
_114294_,_114385_,d
_114294_,_116916_,d
_114294_,_117080_,c
_114294_,_115342_,c
_114294_,_114772_,c
_114294_,_115825_,c
_114294_,_116876_,b
_114294_,_115879_,c
_114294_,_115546_,d
_114294_,_116711_,c
_114294_,_114854_,d
_114294_,_114975_,c
_114294_,_116957_,c
_114294_,_114492_,c
_114294_,_115792_,b
_114294_,_113502_,c
_114294_,_114344_,c
_114294_,_116272_,c
